Area,Year,Quarter,Overall_hpi,Overall_YoY,Low_hpi,Low_YoY,Mid_hpi,Mid_YoY,High_hpi,High_YoY
Austin-Round Rock,1999,1,100,,100,,100,,100,
Austin-Round Rock,1999,2,105.0474335,,109.5579757,,103.0488183,,102.7057299,
Austin-Round Rock,1999,3,105.9864087,,106.4742853,,106.2226617,,105.2220097,
Austin-Round Rock,1999,4,108.3432791,,114.4442908,,104.0319585,,106.144577,
Austin-Round Rock,2000,1,113.7741193,0.137741192,113.4018941,0.13401894,111.3833117,0.113833116,114.8786741,0.14878674
Austin-Round Rock,2000,2,118.0129941,0.123425772,121.1958194,0.106225435,114.6519237,0.112598141,117.4189831,0.1432564
Austin-Round Rock,2000,3,123.9161511,0.169170204,125.1222205,0.17514027,120.5507714,0.134887503,124.6691246,0.184819838
Austin-Round Rock,2000,4,124.4332052,0.14850876,126.779402,0.10778267,122.3289334,0.175878404,123.6402801,0.164828986
Houston-The Woodlands-Sugar Land,2000,1,100,,100,,100,,100,
Houston-The Woodlands-Sugar Land,2000,2,102.1453831,,103.7068456,,101.8366688,,100.9541506,
Houston-The Woodlands-Sugar Land,2000,3,104.4442852,,106.1197658,,103.3319247,,103.7255278,
Houston-The Woodlands-Sugar Land,2000,4,103.8453682,,105.4086819,,103.3767349,,102.3966136,
Austin-Round Rock,2001,1,129.0865712,0.134586424,131.716719,0.161503695,126.644849,0.137018168,127.8956947,0.113311027
Austin-Round Rock,2001,2,130.5505031,0.106238377,138.7653672,0.144968266,124.8029535,0.088537806,127.6658312,0.087267388
Austin-Round Rock,2001,3,128.6741381,0.038396827,136.4531778,0.090559113,124.8336752,0.035527801,125.0034283,0.002681527
Austin-Round Rock,2001,4,124.9837286,0.004424248,133.2779053,0.051258352,124.021761,0.013838325,119.3479323,-0.034716418
Houston-The Woodlands-Sugar Land,2001,1,105.941988,0.05941988,107.9834526,0.079834526,105.6338649,0.056338648,103.9749378,0.039749377
Houston-The Woodlands-Sugar Land,2001,2,106.9123344,0.046668299,111.5488261,0.075616806,105.2075453,0.033100812,104.5607157,0.035724783
Houston-The Woodlands-Sugar Land,2001,3,108.0573697,0.034593414,112.1940998,0.057240364,106.5103353,0.030759231,105.8424517,0.020408898
Houston-The Woodlands-Sugar Land,2001,4,107.8437144,0.038502883,113.594151,0.077654601,106.4591724,0.029817517,104.2463044,0.018063984
Austin-Round Rock,2002,1,126.7940792,-0.017759337,135.4851813,0.028610356,127.250465,0.004782002,119.7074266,-0.064023015
Austin-Round Rock,2002,2,126.6725312,-0.029704764,133.8996568,-0.035064299,124.5159562,-0.002299603,122.1123393,-0.04350022
Austin-Round Rock,2002,3,127.2287636,-0.011232828,133.5921093,-0.020967401,126.6907595,0.014876468,122.3559766,-0.021179032
Austin-Round Rock,2002,4,124.6110036,-0.002982187,128.4042659,-0.036567496,124.4657234,0.003579714,121.8717681,0.021146874
