Weather and Climate Billion-Dollar Disasters to affect Texas from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,
Name,Disaster,Begin Date,Begin Date,,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,City,Year Begin,Quarter Begin,Year End,Quarter End,
Hurricane Allen (August 1980),Tropical Cyclone,19800807,8/7/1980,19800811,8/11/1980,2177.2,13,"Brownsville,Willacy County,Kingsville,South Padre Island",1980,3,1980,3,3
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,19800601,6/1/1980,19801130,11/30/1980,39679.2,1260,"Dallas County,Dallas,Harris County,Houston,Webb County,Laredo,Montague County,Bowie",1980,2,1980,4,"2,3,4"
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,5/5/1981,19810510,5/10/1981,1376.9,20,"Tarrant,Dallas",1981,2,1981,2,2
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,1/8/1982,19820116,1/16/1982,2158.1,85,"Hamilton,Hillsboro,Tyler,Clifton,Itasca",1982,1,1982,1,1
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,4/2/1982,19820404,4/4/1982,1565.6,33,"Fannin,Lamar",1982,2,1982,2,2
Severe Storms (June 1982),Severe Storm,19820531,5/31/1982,19820610,6/10/1982,1540.5,30,,1982,2,1982,2,2
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,8/17/1983,19830820,8/20/1983,9210,21,"Galveston,Houston,Corsicana",1983,3,1983,3,3
Freeze / Cold Wave (December 1983),Freeze,19831215,12/15/1983,19831225,12/25/1983,6318.5,151,"Houston,Palacios,Galveston,Corpus Christi,McAllen,Port Arthur",1983,4,1983,4,4
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,1/19/1985,19850122,1/22/1985,2444.1,150,"Austin,San Antonio,Del Rio",1985,1,1985,1,1
U.S. Drought/Heat Wave (Summer 1988),Drought,19880601,6/1/1988,19880831,8/31/1988,53210.1,454,,1988,2,1988,3,"2,3"
Southern Derecho and Severe Storms (May 1989),Severe Storm,19890501,5/1/1989,19890506,5/6/1989,1373.3,21,"Wichita Falls,Graham,Ft. Worth,Tyler",1989,2,1989,2,2
Tropical Storm Allison (June 1989),Tropical Cyclone,19890626,6/26/1989,19890628,6/28/1989,1450.8,11,"Brazoria,Chambers,Galveston,Kemah,Hardin,Liberty,Jasper,Matagorda,Montgomery,Newton,Orange,Jefferson",1989,2,1989,2,2
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,6/1/1989,19891130,11/30/1989,7628.1,0,,1989,2,1989,4,"2,3,4"
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,12/21/1989,19891226,12/26/1989,1659.1,100,"Houston,Galveston,College Station,Brownsville",1989,4,1989,4,4
Southern Flooding (May 1990),Flooding,19900511,5/11/1990,19900519,5/19/1990,2396.3,13,"Dallas,Fort Worth,Houston,Liberty ",1990,2,1990,2,2
Severe Storms (March 1992),Severe Storm,19920324,3/24/1992,19920325,3/25/1992,1777.6,0,,1992,1,1992,1,1
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,4/28/1992,19920429,4/29/1992,2109.2,0,,1992,2,1992,2,2
Southeast Severe Weather (November 1992),Severe Storm,19921121,11/21/1992,19921123,11/23/1992,1425.9,26,"Wharton,Fort Bend,Harris,Brazoria,Liberty,Polk,Galveston,Jasper",1992,4,1992,4,4
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,3/11/1993,19930314,3/14/1993,11883.3,270,,1993,1,1993,1,1
Southeast Ice Storm (February 1994),Winter Storm,19940208,2/8/1994,19940213,2/13/1994,6295.1,9,,1994,1,1994,1,1
Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,4/25/1994,19940427,4/27/1994,2058.9,3,,1994,2,1994,2,2
Texas Flooding (October 1994),Flooding,19941016,10/16/1994,19941025,10/25/1994,2060,19,,1994,4,1994,4,4
Western Fire Season (Summer-Fall 1994),Wildfire,19940601,6/1/1994,19941130,11/30/1994,1508,0,,1994,2,1994,4,"2,3,4"
Texas Hail Storm (April 1995),Severe Storm,19950428,4/28/1995,19950428,4/28/1995,1167.3,0,,1995,2,1995,2,2
South Plains Severe Weather (May 1995),Severe Storm,19950505,5/5/1995,19950507,5/7/1995,11082.7,32,,1995,2,1995,2,2
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,7/1/1995,19950930,9/30/1995,1978.2,872,,1995,3,1995,3,3
Blizzard/Floods (January 1996),Winter Storm,19960101,1/1/1996,19960131,1/31/1996,5976.1,187,,1996,1,1996,1,1
Southern Plains Drought (Spring-Summer 1996),Drought,19960301,3/1/1996,19960831,8/31/1996,3565,0,,1996,1,1996,3,"1,2,3"
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,19970228,2/28/1997,19970305,3/5/1997,1886.8,67,,1997,1,1997,1,1
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,19971201,12/1/1997,19980228,2/28/1998,1918.7,132,,1997,4,1998,1, 
Tropical Storm Frances (September 1998),Tropical Cyclone,19980808,8/8/1998,19980813,8/13/1998,1316,2,,1998,3,1998,3,3
Southern Drought and Heat Wave (Summer 1998),Drought,19980601,6/1/1998,19980831,8/31/1998,6703.3,200,,1998,2,1998,3,"2,3"
Texas Flooding (October 1998),Flooding,19981016,10/16/1998,19981024,10/24/1998,1771.1,31,,1998,4,1998,4,4
Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,1/1/1999,19990104,1/4/1999,1930.6,25,,1999,1,1999,1,1
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,5/3/1999,19990506,5/6/1999,3722.6,55,,1999,2,1999,2,2
Southern Severe Weather (March 2000),Severe Storm,20000328,3/28/2000,20000329,3/29/2000,1242,0,,2000,1,2000,1,1
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,20000301,3/1/2000,20001130,11/30/2000,9094.9,140,,2000,1,2000,4,"1,2,3,4"
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,4/6/2001,20010411,4/11/2001,5385.2,3,,2001,2,2001,2,2
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,6/5/2001,20010617,6/17/2001,14743.1,43,"Harris,Houston,Jefferson,Walker,Brazoria,Polk,Fort Bend,Newton,Galveston,Montgomery",2001,2,2001,2,2
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,4/27/2002,20020428,4/28/2002,3580.3,7,,2002,2,2002,2,2
U.S. Drought (Spring-Fall 2002),Drought,20020301,3/1/2002,20021130,11/30/2002,15671.2,0,,2002,1,2002,4,"1,2,3,4"
Severe Storms/Hail (April 2003),Severe Storm,20030404,4/4/2003,20030407,4/7/2003,3350.5,3,,2003,2,2003,2,2
Southeast Severe Weather (March 2005),Severe Storm,20050324,3/24/2005,20050327,3/27/2005,1375.4,0,,2005,1,2005,1,1
Hurricane Rita (September 2005),Tropical Cyclone,20050920,9/20/2005,20050924,9/24/2005,28675.2,119,,2005,3,2005,3,3
Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,3/8/2006,20060313,3/13/2006,2059.9,10,,2006,1,2006,1,1
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,20060301,3/1/2006,20060831,8/31/2006,9296.7,0,,2006,1,2006,3,"1,2,3"
Numerous Wildfires (2006),Wildfire,20060101,1/1/2006,20061231,12/31/2006,2273.8,28,,2006,1,2006,4,"1,2,3,4"
East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,4/13/2007,20070417,4/17/2007,3736.7,9,,2007,2,2007,2,2
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,2/5/2008,20080206,2/6/2008,1756.9,57,,2008,1,2008,1,1
Southern Severe Weather (April 2008),Severe Storm,20080409,4/9/2008,20080411,4/11/2008,1486.7,2,,2008,2,2008,2,2
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,7/23/2008,20080725,7/25/2008,1774.2,3,,2008,3,2008,3,3
