1980-2023 Billion-Dollar Disasters Cost (in $Millions) By State (CPI-Adjusted)
state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,2291.0,0.0
AL,6706.5,134.3,148.7,13758.5,26396.7,716.4,2372.7
AR,6580.0,4592.7,291.0,10084.0,703.3,0.0,1132.4
AZ,1455.5,1877.7,0.0,5358.0,0.0,1322.4,0.0
CA,16169.6,18772.4,15106.0,3445.4,0.0,97669.8,0.0
CO,6966.7,2035.8,102.4,29572.1,0.0,7047.5,275.7
CT,13.0,616.8,41.0,817.7,5873.1,0.0,3070.9
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,867.4,22.8,12.3,228.2,1010.3,0.0,911.2
FL,1492.8,1646.3,13570.9,5248.6,361919.5,299.3,3919.2
GA,8095.3,1371.0,1282.8,11976.9,19174.3,288.5,2764.9
HI,0.0,0.0,0.0,0.0,6758.0,5555.0,0.0
IA,15228.5,23886.2,75.7,21448.6,0.0,0.0,230.0
ID,3448.0,571.7,12.3,0.0,0.0,3470.2,0.0
IL,17017.3,9769.0,421.0,24099.8,1014.8,0.0,2337.7
IN,8591.3,5400.0,228.6,13932.5,1034.5,0.0,779.1
KS,24364.0,3574.0,171.4,12254.3,0.0,0.0,155.4
KY,7710.0,941.6,249.2,15308.4,1289.7,0.0,1548.4
LA,5465.4,21027.7,204.8,11742.6,263338.7,0.0,2257.5
MA,19.5,1083.9,49.1,728.2,3598.3,0.0,5103.0
MD,3311.5,267.0,32.8,3414.1,6289.1,0.0,3040.5
ME,13.0,405.6,0.0,202.2,139.8,0.0,1584.3
MI,3219.0,3509.0,49.1,6091.9,0.0,0.0,584.9
MN,9274.5,5652.2,53.2,23135.3,0.0,98.2,220.7
MO,11822.2,15895.2,639.6,24778.1,495.3,0.0,812.6
MS,8547.8,3665.4,126.4,6522.2,60438.6,42.1,4609.1
MT,13013.6,349.0,12.3,1189.4,0.0,3390.1,0.0
NC,10224.9,65.4,305.0,7765.2,66989.2,88.5,2371.2
ND,23003.5,9524.5,12.3,395.3,0.0,12.9,37.8
NE,16318.9,5109.1,84.8,13802.8,0.0,56.9,41.2
NH,13.0,45.5,0.0,160.0,452.5,0.0,1588.8
NJ,491.0,1151.2,49.1,3635.9,52083.9,0.0,5517.9
NM,3158.8,0.0,0.0,1035.9,298.2,2669.1,0.0
NV,434.6,1061.5,0.0,61.5,0.0,1217.1,44.5
NY,617.5,2214.0,69.6,3814.5,67039.1,0.0,7696.8
OH,6253.0,1357.2,407.6,17136.4,3283.4,0.0,1749.7
OK,12402.8,2534.7,613.9,25335.8,0.0,339.8,1040.4
OR,4270.1,1614.5,135.1,104.8,0.0,5767.0,510.9
PA,2461.9,1244.0,102.4,8670.5,11542.7,0.0,3848.4
PR,0.0,0.0,0.0,0.0,123333.8,0.0,0.0
RI,13.0,174.0,8.2,187.2,1323.6,0.0,1102.3
SC,4234.4,2453.3,636.9,4625.2,23928.3,0.0,1523.4
SD,13932.6,5408.2,24.6,2083.3,0.0,105.9,0.0
TN,7136.0,3884.6,191.1,21927.1,1287.1,1792.0,2512.9
TX,40081.3,14953.5,551.3,81813.5,235608.8,3084.8,25359.9
US,344675.9,194658.1,36410.4,453056.1,1379689.4,142736.9,98244.7
UT,515.9,1570.0,12.3,28.1,0.0,1371.6,0.0
VA,4631.5,2161.6,89.3,3696.7,10498.3,0.0,3038.4
VI,0.0,0.0,0.0,0.0,20582.8,0.0,0.0
VT,13.0,858.5,0.0,154.0,1148.1,0.0,1166.6
WA,4405.0,1071.8,110.6,67.2,0.0,2963.0,302.9
WI,5648.7,6352.9,49.1,8790.0,0.0,0.0,218.7
WV,2268.2,2780.8,68.4,1020.6,815.6,0.0,861.8
WY,2753.9,0.0,8.2,1407.6,0.0,1077.8,0.0
