Weather and Climate Billion-Dollar Disasters to affect Texas from 1980-2023 (CPI-Adjusted),,,,,,
Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,City
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,2177.2,13,"Brownsville,Willacy County,Kingsville,South Padre Island"
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,19800601,19801130,39679.2,1260,"Dallas County,Dallas,Harris County,Houston,Webb County,Laredo,Montague County,Bowie"
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1376.9,20,"Tarrant,Dallas"
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2158.1,85,"Hamilton,Hillsboro,Tyler,Clifton,Itasca"
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1565.6,33,"Fannin,Lamar"
Severe Storms (June 1982),Severe Storm,19820531,19820610,1540.5,30,
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,9210,21,"Galveston,Houston,Corsicana"
Freeze / Cold Wave (December 1983),Freeze,19831215,19831225,6318.5,151,"Houston,Palacios,Galveston,Corpus Christi,McAllen,Port Arthur"
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2444.1,150,"Austin,San Antonio,Del Rio"
U.S. Drought/Heat Wave (Summer 1988),Drought,19880601,19880831,53210.1,454,
Southern Derecho and Severe Storms (May 1989),Severe Storm,19890501,19890506,1373.3,21,"Wichita Falls,Graham,Ft. Worth,Tyler"
Tropical Storm Allison (June 1989),Tropical Cyclone,19890626,19890628,1450.8,11,"Brazoria,Chambers,Galveston,Kemah,Hardin,Liberty,Jasper,Matagorda,Montgomery,Newton,Orange,Jefferson"
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,19891130,7628.1,0,
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1659.1,100,"Houston,Galveston,College Station,Brownsville"
Southern Flooding (May 1990),Flooding,19900511,19900519,2396.3,13,"Dallas,Fort Worth,Houston,Liberty "
Severe Storms (March 1992),Severe Storm,19920324,19920325,1777.6,0,
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,2109.2,0,
Southeast Severe Weather (November 1992),Severe Storm,19921121,19921123,1425.9,26,"Wharton,Fort Bend,Harris,Brazoria,Liberty,Polk,Galveston,Jasper"
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,19930314,11883.3,270,
Southeast Ice Storm (February 1994),Winter Storm,19940208,19940213,6295.1,9,
Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,19940427,2058.9,3,
